ID,Star/Galaxy,Constellation,RA (hours),Dec (degrees),Distance (ly),Details
69,Sextans B,Sextans,10.00,5.33,4400000,Dwarf irregular galaxy.
70,Leo A,Leo,9.99,30.74,2600000,Dwarf irregular galaxy.
71,IC 1613,Cetus,1.07,2.12,2300000,Dwarf irregular galaxy.
72,Wolf-Lundmark-Melotte,Cetus,0.03,-15.46,3000000,Dwarf irregular galaxy.
73,Tucana Dwarf,Tucana,22.41,-64.42,2900000,Dwarf spheroidal galaxy.
74,Ursa Major I Dwarf,Ursa Major,10.48,51.92,330000,Dwarf spheroidal galaxy.
75,Ursa Major II Dwarf,Ursa Major,8.81,63.13,100000,Dwarf spheroidal galaxy.
76,Willman 1,Coma Berenices,10.45,51.05,120000,Dwarf galaxy or globular.
77,Coma Berenices Dwarf,Coma Berenices,12.45,23.90,140000,Dwarf spheroidal galaxy.
78,Boötes I Dwarf,Boötes,14.00,14.50,217000,Dwarf spheroidal galaxy.
79,Boötes II Dwarf,Boötes,13.93,12.85,138000,Dwarf spheroidal galaxy.
80,Canes Venatici I Dwarf,Canes Venatici,13.47,33.55,720000,Dwarf spheroidal galaxy.
81,Canes Venatici II Dwarf,Canes Venatici,12.95,34.32,520000,Dwarf spheroidal galaxy.
82,Canis Major Dwarf,Canis Major,7.03,-27.67,25000,Dwarf irregular galaxy.
83,Hercules Dwarf,Hercules,16.51,12.78,430000,Dwarf spheroidal galaxy.
84,Leo IV Dwarf,Leo,11.55, -0.53,530000,Dwarf spheroidal galaxy.
85,Leo V Dwarf,Leo,11.55,2.22,580000,Dwarf spheroidal galaxy.
86,Pisces II Dwarf,Pisces,22.98,5.95,590000,Dwarf spheroidal galaxy.
87,Segway 1,Leo,10.12,16.08,75000,Dwarf galaxy or globular.
88,Segway 2,Triangulum,2.32,20.17,114000,Dwarf spheroidal galaxy.
89,Virgo Dwarf,Virgo,12.42,12.77,2200000,Dwarf irregular galaxy.
90,Antlia Dwarf,Antlia,9.72,-26.88,4600000,Dwarf spheroidal galaxy.
91,Crater 2 Dwarf,Crater,11.4,-18.41,380000,Dwarf spheroidal galaxy.
92,Hydra II Dwarf,Hydra,12.64,-31.98,430000,Dwarf spheroidal galaxy.
93,Pegasus Dwarf Irregular,Pegasus,23.47,14.75,2500000,Dwarf irregular galaxy.
94,Cassiopeia Dwarf, Cassiopeia,23.45,50.68,2000000,Dwarf spheroidal galaxy.
95,Andromeda II,Andromeda,1.27,33.42,2100000,Dwarf spheroidal galaxy.
96,Andromeda III,Andromeda,0.59,35.63,2500000,Dwarf spheroidal galaxy.
97,Andromeda V,Andromeda,0.22,47.5,2500000,Dwarf spheroidal galaxy.
98,Andromeda VI,Andromeda,23.6,24.58,2500000,Dwarf spheroidal galaxy.
99,Andromeda VII,Andromeda,23.48,50.68,2500000,Dwarf spheroidal galaxy.
100,Andromeda VIII,Andromeda,0.71,45.6,2500000,Dwarf spheroidal galaxy.
